Date,Price,Open,High,Low,Vol.,Change %
08/06/2023,11.7471,11.8036,11.8591,11.7262,,-0.40%
09/06/2023,11.5574,11.7504,11.7859,11.5448,,-1.61%
12/06/2023,11.6064,11.5707,11.6451,11.523,,0.42%
13/06/2023,11.4924,11.6064,11.6821,11.4823,,-0.98%
14/06/2023,11.5322,11.4923,11.6316,11.4166,,0.35%
15/06/2023,11.4919,11.5328,11.6121,11.4249,,-0.35%
16/06/2023,11.5254,11.4851,11.5985,11.4557,,0.29%
19/06/2023,11.6379,11.5476,11.6738,11.5218,,0.98%
20/06/2023,11.6732,11.6528,11.7676,11.604,,0.30%
21/06/2023,11.6816,11.6953,11.7829,11.6754,,0.07%
22/06/2023,11.673,11.7325,11.7589,11.5288,,-0.07%
23/06/2023,11.7706,11.6777,11.8835,11.653,,0.84%
26/06/2023,11.6956,11.8274,11.8611,11.6726,,-0.64%
27/06/2023,11.8055,11.7037,11.8252,11.6595,,0.94%
28/06/2023,11.7483,11.8139,11.8576,11.7321,,-0.48%
29/06/2023,11.7189,11.7509,11.7963,11.723,,-0.25%
30/06/2023,11.6916,11.7334,11.7564,11.6524,,-0.23%
03/07/2023,11.668,11.7356,11.7875,11.6458,,-0.20%
04/07/2023,11.5342,11.6718,11.7465,11.5541,,-1.15%
05/07/2023,11.5834,11.5732,11.7176,11.5386,,0.43%
06/07/2023,11.7192,11.5915,11.7994,11.5558,,1.17%
07/07/2023,11.6408,11.7213,11.7393,11.6192,,-0.67%
10/07/2023,11.5155,11.657,11.7631,11.5202,,-1.08%
11/07/2023,11.3966,11.5326,11.5436,11.3822,,-1.03%
12/07/2023,11.2574,11.3983,11.4703,11.2309,,-1.22%
13/07/2023,11.1614,11.2769,11.3183,11.1564,,-0.85%
14/07/2023,11.2656,11.1786,11.3014,11.1349,,0.93%
17/07/2023,11.2869,11.2726,11.3213,11.2184,,0.19%
18/07/2023,11.2797,11.3045,11.3652,11.2725,,-0.06%
19/07/2023,11.2309,11.293,11.3486,11.2104,,-0.43%
20/07/2023,11.2055,11.2395,11.2767,11.1243,,-0.23%
21/07/2023,11.1871,11.219,11.2439,11.1352,,-0.16%
24/07/2023,11.1197,11.2149,11.2976,11.1156,,-0.60%
25/07/2023,11.1089,11.1454,11.2057,11.0947,,-0.10%
26/07/2023,11.195,11.1217,11.2499,11.1053,,0.78%
27/07/2023,11.1734,11.2024,11.2924,11.1063,,-0.19%
28/07/2023,11.2227,11.186,11.2618,11.0115,,0.44%
31/07/2023,11.1299,11.2266,11.2912,11.124,,-0.83%
01/08/2023,11.2026,11.1399,11.2334,11.1205,,0.65%
02/08/2023,11.2638,11.2091,11.2762,11.1299,,0.55%
03/08/2023,11.1895,11.271,11.326,11.1699,,-0.66%
04/08/2023,11.1433,11.2168,11.2458,11.1248,,-0.41%
07/08/2023,11.1589,11.1696,11.2054,11.1189,,0.14%
08/08/2023,11.2349,11.1747,11.3181,11.1392,,0.68%
09/08/2023,11.1883,11.2538,11.288,11.1821,,-0.41%
10/08/2023,11.328,11.1985,11.3433,11.1497,,1.25%
11/08/2023,11.398,11.3348,11.4831,11.3143,,0.62%
14/08/2023,11.4309,11.3961,11.4958,11.3839,,0.29%
15/08/2023,11.4858,11.4279,11.5003,11.3974,,0.48%
16/08/2023,11.5373,11.4912,11.5716,11.436,,0.45%
17/08/2023,11.4864,11.5443,11.5967,11.4727,,-0.44%
18/08/2023,11.5689,11.5414,11.5969,11.4815,,0.72%
21/08/2023,11.5441,11.5711,11.5971,11.5012,,-0.21%
22/08/2023,11.4853,11.5648,11.5956,11.494,,-0.51%
23/08/2023,11.497,11.5127,11.6002,11.4897,,0.10%
24/08/2023,11.5808,11.5028,11.6051,11.4886,,0.73%
25/08/2023,11.5618,11.5848,11.6018,11.4981,,-0.16%
28/08/2023,11.5912,11.5644,11.6318,11.4671,,0.25%
29/08/2023,11.4961,11.592,11.6248,11.4963,,-0.82%
30/08/2023,11.572,11.5064,11.597,11.4942,,0.66%
31/08/2023,11.5255,11.5716,11.6107,11.5128,,-0.40%
01/09/2023,11.4795,11.5317,11.5694,11.4471,,-0.40%
04/09/2023,11.4649,11.486,11.542,11.4459,,-0.13%
05/09/2023,11.4969,11.4717,11.5716,11.4509,,0.28%
06/09/2023,11.4845,11.5002,11.5589,11.4576,,-0.11%
07/09/2023,11.4543,11.4951,11.5276,11.4433,,-0.26%
