Date,Price,Open,High,Low,Vol.,Change %
01/03/2023,69.6,69.5,69.7,69.3,1.12M,-0.46%
02/03/2023,70.02,69.34,70.06,69.14,1.25M,0.60%
03/03/2023,69.94,70.02,70.22,69.68,826.27K,-0.11%
06/03/2023,70,70.02,70.16,69.78,653.22K,0.09%
07/03/2023,70.08,69.88,70.26,69.8,809.79K,0.11%
08/03/2023,70,69.94,70.28,69.86,1.20M,-0.11%
09/03/2023,70.42,70.04,70.74,69.92,1.17M,0.60%
10/03/2023,70.88,70.06,71.38,69.86,1.20M,0.65%
13/03/2023,71,70.88,71.52,70.14,1.91M,0.17%
14/03/2023,70.86,70.74,71.28,70.72,1.22M,-0.20%
15/03/2023,71.6,70.74,71.78,70.72,1.50M,1.04%
16/03/2023,72.44,71.42,72.8,71.42,1.47M,1.17%
17/03/2023,72.18,72,72.78,71.98,3.15M,-0.36%
20/03/2023,73.08,72.1,73.14,71.88,1.48M,1.25%
21/03/2023,73.46,73.26,73.74,73.18,1.17M,0.52%
22/03/2023,73.66,73.48,73.94,72.78,896.73K,0.27%
23/03/2023,73.58,73.52,73.8,73.12,877.63K,-0.11%
24/03/2023,74.32,73.56,74.84,73.42,1.27M,1.01%
27/03/2023,73.34,74.56,74.8,73.34,1.01M,-1.32%
28/03/2023,72.78,73.28,73.28,72.38,796.82K,-0.76%
29/03/2023,73.38,72.7,73.44,72.64,874.01K,0.82%
30/03/2023,73.56,73.4,74.02,73.14,859.04K,0.25%
31/03/2023,74.26,73.6,74.34,73.5,1.04M,0.95%
03/04/2023,73.76,74.38,74.38,73.42,938.54K,-0.67%
04/04/2023,74.56,74.12,74.66,73.86,996.64K,1.08%
05/04/2023,76.48,74.64,76.48,74.56,853.89K,2.58%
11/04/2023,76.86,76.1,77.26,75.96,1.56M,0.50%
12/04/2023,76.9,77.02,77.36,76.64,1.01M,0.05%
13/04/2023,76.32,77,77.16,76.2,1.24M,-0.75%
14/04/2023,73.14,73.5,73.68,72.58,1.25M,-4.17%
17/04/2023,73.88,73.24,74.3,73.1,689.01K,1.01%
18/04/2023,73.94,74.02,74.32,73.66,681.34K,0.08%
19/04/2023,74.78,74.1,74.82,74.06,854.96K,1.14%
20/04/2023,74.5,74.46,74.72,74.04,892.70K,-0.37%
21/04/2023,74.52,74.5,74.94,74.36,1.13M,0.03%
24/04/2023,75.5,74.62,75.56,74.5,717.78K,1.32%
