Date,Price,Open,High,Low,Vol.,Change %
07/02/2023,11.3387,11.4,11.4256,11.3317,,-0.54%
08/02/2023,11.3375,11.3417,11.3895,11.2905,,-0.01%
09/02/2023,11.1039,11.3454,11.3764,11.0847,,-2.06%
10/02/2023,11.16,11.1076,11.1924,11.0596,,0.51%
13/02/2023,11.1212,11.1583,11.1876,11.1217,,-0.35%
14/02/2023,11.1124,11.1273,11.1625,11.0582,,-0.08%
15/02/2023,11.131,11.1172,11.1863,11.1062,,0.17%
16/02/2023,11.1314,11.1467,11.1882,11.115,,0.00%
17/02/2023,11.183,11.1514,11.2358,11.1388,,0.46%
20/02/2023,11.0441,11.2148,11.2201,11.0359,,-1.24%
21/02/2023,11.0472,11.0551,11.0933,10.9868,,0.03%
22/02/2023,11.0478,11.0559,11.0698,11.0002,,0.01%
23/02/2023,11.0533,11.0537,11.0863,11.0232,,0.05%
24/02/2023,11.0696,11.057,11.0969,10.9969,,0.15%
27/02/2023,11.0235,11.0732,11.0978,11.0142,,-0.42%
28/02/2023,11.0656,11.0266,11.1072,11.0023,,0.38%
01/03/2023,11.1246,11.0726,11.1677,11.048,,0.53%
02/03/2023,11.1335,11.1395,11.1714,11.1215,,0.08%
03/03/2023,11.1088,11.139,11.1625,11.1128,,-0.22%
06/03/2023,11.1562,11.1479,11.1777,11.1096,,0.43%
07/03/2023,11.3109,11.1603,11.3394,11.1364,,1.39%
08/03/2023,11.311,11.3199,11.3508,11.2307,,0.00%
09/03/2023,11.3536,11.3197,11.367,11.273,,0.38%
10/03/2023,11.3851,11.3574,11.4271,11.334,,0.28%
13/03/2023,11.3635,11.386,11.486,11.3364,,-0.19%
14/03/2023,11.2367,11.3706,11.4003,11.2202,,-1.12%
15/03/2023,11.1921,11.2394,11.2639,11.1569,,-0.40%
16/03/2023,11.1404,11.1963,11.2477,11.1404,,-0.46%
17/03/2023,11.1999,11.1519,11.2361,11.1201,,0.53%
20/03/2023,11.1077,11.2341,11.2595,11.1094,,-0.82%
21/03/2023,11.1271,11.1199,11.1536,11.0816,,0.17%
22/03/2023,11.188,11.1362,11.2084,11.1,,0.55%
23/03/2023,11.1818,11.1941,11.2409,11.1496,,-0.06%
24/03/2023,11.19,11.1903,11.2361,11.1587,,0.07%
27/03/2023,11.2,11.2229,11.2428,11.1796,,0.09%
28/03/2023,11.2241,11.2048,11.2417,11.1629,,0.22%
29/03/2023,11.2661,11.2287,11.3097,11.2137,,0.37%
30/03/2023,11.287,11.2736,11.337,11.2571,,0.19%
