Date,Price,Open,High,Low,Vol.,Change %
04/24/2023,156.52,154.39,156.8,153.53,,0.69%
04/25/2023,154.68,156.52,157.05,153.85,,-1.18%
04/26/2023,155.61,154.92,156.35,153.83,,0.60%
04/27/2023,152.99,155.19,155.19,152.33,,-1.68%
04/28/2023,156.47,153.28,156.71,151.27,,2.27%
05/01/2023,156.6,156.6,156.6,156.6,,0.08%
05/02/2023,148.02,156.37,156.37,147.96,,-5.48%
05/03/2023,146.82,147.87,149.44,145.85,,-0.81%
05/04/2023,147.37,146.96,150.34,146.47,,0.37%
05/05/2023,151.61,148.37,152.23,148.37,,2.88%
05/08/2023,152,151.58,152.75,151.58,,0.26%
05/09/2023,150.72,151.44,151.68,149.6,,-0.84%
05/10/2023,151.07,150.71,152.94,150.27,,0.23%
05/11/2023,148.87,150.79,151.77,147.52,,-1.46%
05/12/2023,150.69,148.58,151.37,148.21,,1.22%
05/15/2023,151.09,150.47,151.19,149.3,,0.27%
05/16/2023,149.27,150.81,151.41,149.01,,-1.20%
05/17/2023,150.1,149.06,150.54,148.55,,0.56%
05/18/2023,150.47,150.31,151.77,150.27,,0.25%
05/19/2023,151.19,150.59,152.48,150.59,,0.48%
05/22/2023,150.28,150.84,150.85,149.86,,-0.60%
05/23/2023,152.34,150.28,152.62,149.65,,1.37%
05/24/2023,151.33,152.13,152.62,149.99,,-0.66%
05/25/2023,147.39,151.51,151.51,147.09,,-2.60%
05/26/2023,148.61,147.65,148.86,146.86,,0.83%
05/29/2023,148.75,148.72,149.17,148.6,,0.09%
05/30/2023,144.88,148.88,148.88,144.87,,-2.60%
05/31/2023,141.95,144.33,144.88,140.75,,-2.02%
06/01/2023,144.4,142.18,144.91,142.18,,1.73%
06/02/2023,147.86,144.33,148.2,144.33,,2.40%
06/05/2023,147.17,149.31,150.14,147.17,,-0.47%
06/06/2023,146.42,146.62,146.73,144.01,,-0.51%
06/07/2023,148.08,146.49,148.4,145.23,,1.13%
06/08/2023,148.66,148.04,149.9,148.04,,0.39%
06/09/2023,148.68,148.8,149.36,147.33,,0.01%
06/12/2023,146.58,148.72,148.72,146.08,,-1.41%
06/13/2023,148.39,146.93,149.69,146.59,,1.23%
06/14/2023,148.26,148.28,150.8,147.74,,-0.09%
06/15/2023,148.67,148.12,149.45,147.27,,0.28%
06/16/2023,148.91,149.06,149.79,148.57,,0.16%
06/19/2023,148.85,148.27,150.14,147.77,,-0.04%
06/20/2023,146.59,148.68,148.8,146.06,,-1.52%
06/21/2023,148.45,147.07,148.65,146.34,,1.27%
06/22/2023,146.08,148.32,148.32,145.54,,-1.60%
06/23/2023,144.95,145.95,146.32,144.38,,-0.77%
06/26/2023,146.28,144.86,146.95,143.16,,0.92%
06/27/2023,144.61,146.38,147.68,143.77,,-1.14%
06/28/2023,144.55,144.54,145.44,142.79,,-0.04%
06/29/2023,144.9,144.7,146.11,144.22,,0.24%
06/30/2023,146.76,145.11,147.65,145.11,,1.28%
07/03/2023,149.43,147.01,150.61,147.01,,1.82%
07/04/2023,149.89,149.31,150.45,149.04,,0.31%
07/05/2023,147.39,149.63,149.84,147.02,,-1.67%
07/06/2023,142.99,146.86,146.86,142.98,,-2.99%
07/07/2023,144.28,143.58,145.19,142.54,,0.90%
07/10/2023,144.8,144.24,146.22,144.24,,0.36%
07/11/2023,146.82,145.05,147.03,144.69,,1.40%
07/12/2023,148.48,146.97,149.74,146.97,,1.13%
07/13/2023,148.58,148.4,149.93,148.4,,0.07%
07/14/2023,145.37,148.31,148.69,144.79,,-2.16%
07/17/2023,144.58,144.04,146.94,143.67,,-0.54%
07/18/2023,146.03,144.05,146.23,143.87,,1.00%
07/19/2023,147.63,145.51,147.99,145.12,,1.10%
07/20/2023,149.59,147.75,150.44,147.75,,1.33%
07/21/2023,151.23,149.91,151.39,149.91,,1.10%
07/24/2023,153.49,151.14,153.65,150.46,,1.49%
07/25/2023,152.67,153.91,154.15,151.89,,-0.53%
07/26/2023,151.84,152.74,152.85,150.6,,-0.54%
07/27/2023,151.09,151.75,151.75,150.05,,-0.49%
07/28/2023,150.09,150.77,150.95,149.34,,-0.66%
07/31/2023,152.19,150.38,152.57,149.88,,1.40%
08/01/2023,150.79,152.22,153.89,150.64,,-0.92%
08/02/2023,147.97,150.63,151.28,147.77,,-1.87%
08/03/2023,149.59,147.69,149.61,146.32,,1.09%
08/04/2023,152.33,149.83,152.42,149.83,,1.83%
08/07/2023,151.9,152.11,152.56,151.19,,-0.28%
08/08/2023,151.34,151.28,151.45,148.68,,-0.37%
08/09/2023,155.67,152.11,156.06,152.11,,2.86%
08/10/2023,155.79,155.62,156.51,155.26,,0.08%
